FREQ,REF_AREA,COMP_METHOD,UNIT_MEASURE,CURRENCY,TRANSFORMATION,TIME_PERIOD,OBS_VALUE
A,IN,B,XDC,INR,B,1941,4.1424941860465
A,IN,B,XDC,INR,B,1942,6.5879360465116
A,IN,B,XDC,INR,B,1943,9.718523255814
A,IN,B,XDC,INR,B,1944,13.565877906977
A,IN,B,XDC,INR,B,1945,18.13
A,IN,B,XDC,INR,B,1946,18.46
A,IN,B,XDC,INR,B,1947,18.18
A,IN,B,XDC,INR,B,1948,15.91
A,IN,B,XDC,INR,B,1949,14.41
A,IN,B,XDC,INR,B,1950,14.8
A,IN,B,XDC,INR,B,1951,15.19
A,IN,B,XDC,INR,B,1952,14.23
A,IN,B,XDC,INR,B,1953,13.93
A,IN,B,XDC,INR,B,1954,14.31
A,IN,B,XDC,INR,B,1955,15.41
A,IN,B,XDC,INR,B,1956,17.52
A,IN,B,XDC,INR,B,1957,19.22
A,IN,B,XDC,INR,B,1958,20.23
A,IN,B,XDC,INR,B,1959,21.7
A,IN,B,XDC,INR,B,1960,23.25
A,IN,B,XDC,INR,B,1961,25.07
A,IN,B,XDC,INR,B,1962,26.86
A,IN,B,XDC,INR,B,1963,29.18
A,IN,B,XDC,INR,B,1964,31.16
A,IN,B,XDC,INR,B,1965,34.35
A,IN,B,XDC,INR,B,1966,37.3
A,IN,B,XDC,INR,B,1967,40.24
A,IN,B,XDC,INR,B,1968,42.46
A,IN,B,XDC,INR,B,1969,48
A,IN,B,XDC,INR,B,1970,51.84
A,IN,B,XDC,INR,B,1971,59.06
A,IN,B,XDC,INR,B,1972,63.14
A,IN,B,XDC,INR,B,1973,77.58
A,IN,B,XDC,INR,B,1974,88.23
A,IN,B,XDC,INR,B,1975,103.44
A,IN,B,XDC,INR,B,1976,122.02
A,IN,B,XDC,INR,B,1977,142.73
A,IN,B,XDC,INR,B,1978,164.46
A,IN,B,XDC,INR,B,1979,195.25
A,IN,B,XDC,INR,B,1980,229.99
A,IN,B,XDC,INR,B,1981,265.18
A,IN,B,XDC,INR,B,1982,319.26
A,IN,B,XDC,INR,B,1983,391.58
A,IN,B,XDC,INR,B,1984,470.49
A,IN,B,XDC,INR,B,1985,529.26
A,IN,B,XDC,INR,B,1986,603.6
A,IN,B,XDC,INR,B,1987,681.82
A,IN,B,XDC,INR,B,1988,774.1
A,IN,B,XDC,INR,B,1989,890.21
A,IN,B,XDC,INR,B,1990,1073.97
A,IN,B,XDC,INR,B,1991,1274.87
A,IN,B,XDC,INR,B,1992,1346.91
A,IN,B,XDC,INR,B,1993,1650.34
A,IN,B,XDC,INR,B,1994,1897.38
A,IN,B,XDC,INR,B,1995,2175.28
A,IN,B,XDC,INR,B,1996,2278.39
A,IN,B,XDC,INR,B,1997,2507.21
