"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","4,93,558","671.09","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","4,93,558","671.57","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","PUMA SECURITIES","SELL","2,73,641","664.72","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","PUMA SECURITIES","BUY","2,73,641","664.19","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","QE SECURITIES LLP","BUY","7,66,192","666.66","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","QE SECURITIES LLP","SELL","9,62,343","670.42","-"
"19-MAY-2026","KOPRAN","Kopran Ltd.","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","3,21,899","175.51","-"
"19-MAY-2026","KOPRAN","Kopran Ltd.","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","3,21,899","175.73","-"
"19-MAY-2026","MARKOLINES","Markolines Pavement Tec L","HI KLASS TRADING & INVESTMENT LIMITED","BUY","26,961","164.81","-"
"19-MAY-2026","MARKOLINES","Markolines Pavement Tec L","HI KLASS TRADING & INVESTMENT LIMITED","SELL","1,80,296","164.49","-"
